Material;Texto breve material;Utilização livre
1178227;PUXADOR HEXAGONAL UNN-30115-109 BUHLER;1
1178228;UNIDADE CILINDRO OLFB-11557-001   BUHLER;2
1178229;DISPOSITIVO RASPAGEM UNN-44029-034 BUHLE;2
1178240;PORCA TENSORA UNN-18034-023 BUHLER;6
1178241;ROLAMENTO DE ROLETE UNN-56011-023 BUHLER;6
1178242;ROLAMENTO DE ESFERA UNN-56001-282 BUHLER;2
1178243;DISCO DE FRICCAO OLCC-12577-001 BUHLER;2
1178244;VALVULA SOLENOIDE UXS-16039-050 BUHLER;2
1178245;INTERRUPTOR-LIMITE UNE-26200-255 BUHLER;1
1178246;PCI COM INDICADOR EKP-84441-810 BUHLER;2
1178247;INTERRUPTOR MAGNET UXE-26300-043 BUHLER;2
1178248;VALVULA SOLENOIDE UNS-16094-010 BUHLER;2
1178249;CONJUNTO DE REPARO UXS-16039-099 BUHLER;6
1178250;BLOCO DE COMANDO OLFB-10747-001 UL/CSA;1
1178251;BOMBA AXIAL OUV-12029-996         BUHLER;1
1178253;FILTRO DE RETORNO OUV-12058-948   BUHLER;1
1178254;BLOCO PADRAO OUV-12058-949        BUHLER;1
1178260;MEMBRANA PRINCIPAL MVRU-11854-001 BUHLER;14
1178261;MEMBRANA MVRU-11853-001 BUHLER;14
1178262;CONJ DE BATEDORES DFZC-10334-001 BUHLER;2
1178263;CHAPA PERFURADA D4 DFZC-50157-070 BUHLER;32
1178264;ROLAMENTO AUTOCOM UNN-56005-114 BUHLER;4
1178265;SENSOR DE VIBRACAO UXE-26709-012 BUHLER;2
1178266;SENSOR DE TEMP UXE-26551-021 BUHLER;2
1178267;MANCAL COM ROSCA DFMF-50100-020 BUHLER;2
1178268;SENSOR DE PROXIMIDADE UNE-26350-101 BUHL;2
1178269;SENSOR DE PROXIMIDADE UNE-26350-102 BUHL;2
1178270;RASPADOR SUPERIOR RWPR-10505-001 BUHLER;1
1178271;RASPADOR INF 228 RWPR-10504-001 BUHLER;1
